Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Yaa Mohaideen Briyani,Pallavaram,['Biryani'],"['Bread Halwa', ' Chicken 65', ' Mutton Biryani', ' Chicken Biryani', ' Brinjal Gravy', ' Basmati Rice', ' Raita']",500,4.3,1500,4.3,9306,"['Home Delivery', 'Indoor Seating']"
Sukkubhai Biriyani,Alandur,['Biryani',"['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']"
Sukkubhai Biriyani,Alandur, ' North Indian',"['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']"
Sukkubhai Biriyani,Alandur, ' Mughlai',"['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']"
Sukkubhai Biriyani,Alandur, ' Desserts',"['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']"
Sukkubhai Biriyani,Alandur, ' Beverages'],"['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']"
SS Hyderabad Biryani,Kodambakkam,['Biryani',"['Brinjal Curry', ' Tandoori Chicken', ' Chicken Grill', ' Brinjal Gravy', ' Hyderabadi Biryani', ' Mutton Biryani', ' Chicken 65']",500,4.3,1361,4.4,10500,"['Home Delivery', 'Indoor Seating']"
SS Hyderabad Biryani,Kodambakkam, ' North Indian',"['Brinjal Curry', ' Tandoori Chicken', ' Chicken Grill', ' Brinjal Gravy', ' Hyderabadi Biryani', ' Mutton Biryani', ' Chicken 65']",500,4.3,1361,4.4,10500,"['Home Delivery', 'Indoor Seating']"
SS Hyderabad Biryani,Kodambakkam, ' Chinese',"['Brinjal Curry', ' Tandoori Chicken', ' Chicken Grill', ' Brinjal Gravy', ' Hyderabadi Biryani', ' Mutton Biryani', ' Chicken 65']",500,4.3,1361,4.4,10500,"['Home Delivery', 'Indoor Seating']"
SS Hyderabad Biryani,Kodambakkam, ' Arabian'],"['Brinjal Curry', ' Tandoori Chicken', ' Chicken Grill', ' Brinjal Gravy', ' Hyderabadi Biryani', ' Mutton Biryani', ' Chicken 65']",500,4.3,1361,4.4,10500,"['Home Delivery', 'Indoor Seating']"
KFC,Perambur,['Burger',['Zinger Burger'],500,4.0,1101,4.0,11200,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']"
KFC,Perambur, ' Fast Food',['Zinger Burger'],500,4.0,1101,4.0,11200,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']"
KFC,Perambur, ' Finger Food',['Zinger Burger'],500,4.0,1101,4.0,11200,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']"
KFC,Perambur, ' Beverages'],['Zinger Burger'],500,4.0,1101,4.0,11200,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']"
Tasty Kitchen,Perambur,['Chinese',"['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']"
Tasty Kitchen,Perambur, ' Biryani',"['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']"
Tasty Kitchen,Perambur, ' North Indian',"['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']"
Tasty Kitchen,Perambur, ' Chettinad',"['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']"
Tasty Kitchen,Perambur, ' Arabian'],"['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']"
Dine N Fun,Medavakkam,['South Indian',"['Chicken Grill', ' Shawarma', ' Naan', ' Chicken Butter Masala', ' Chilli Chicken', ' Fried Rice Chicken']",450,4.1,567,3.8,24700,"['Home Delivery', 'Indoor Seating']"
Dine N Fun,Medavakkam, ' North Indian',"['Chicken Grill', ' Shawarma', ' Naan', ' Chicken Butter Masala', ' Chilli Chicken', ' Fried Rice Chicken']",450,4.1,567,3.8,24700,"['Home Delivery', 'Indoor Seating']"
Dine N Fun,Medavakkam, ' Chinese'],"['Chicken Grill', ' Shawarma', ' Naan', ' Chicken Butter Masala', ' Chilli Chicken', ' Fried Rice Chicken']",450,4.1,567,3.8,24700,"['Home Delivery', 'Indoor Seating']"
Cafe Arabica,Anna Nagar ,['Cafe',"['Burgers', ' Pasta', ' Sandwich', ' Strawberry Mojito', ' Baklava', ' Cappuccino', ' Chocolate Cake']",800,4.3,668,4.3,4320,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Cafe Arabica,Anna Nagar , ' Fast Food'],"['Burgers', ' Pasta', ' Sandwich', ' Strawberry Mojito', ' Baklava', ' Cappuccino', ' Chocolate Cake']",800,4.3,668,4.3,4320,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Savoury Sea Shell,Anna Nagar ,['Arabian',"['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']"
Savoury Sea Shell,Anna Nagar , ' Chinese',"['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']"
Savoury Sea Shell,Anna Nagar , ' North Indian',"['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']"
Savoury Sea Shell,Anna Nagar , ' Lebanese',"['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']"
Savoury Sea Shell,Anna Nagar , ' Salad'],"['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']"
Sangeetha Veg Restaurant,T.Nagar,['South Indian',"['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']"
Sangeetha Veg Restaurant,T.Nagar, ' North Indian',"['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']"
Sangeetha Veg Restaurant,T.Nagar, ' Chinese',"['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']"
Sangeetha Veg Restaurant,T.Nagar, ' Chettinad',"['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']"
Sangeetha Veg Restaurant,T.Nagar, ' Desserts',"['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']"
Sangeetha Veg Restaurant,T.Nagar, ' Beverages'],"['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']"
McDonald's,Velachery,['Burger',"['Burgers', ' Peri Peri Fries', ' French Fries', ' Maharaja Mac', ' Chicken Nuggets', ' Rice Bowl', ' Wings']",500,3.9,743,3.9,6226,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
McDonald's,Velachery, ' Fast Food'],"['Burgers', ' Peri Peri Fries', ' French Fries', ' Maharaja Mac', ' Chicken Nuggets', ' Rice Bowl', ' Wings']",500,3.9,743,3.9,6226,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Kovai Alankar Vilas,Anna Nagar ,['South Indian'],"['Elaneer Payasam', ' Paratha', ' Mutton Chukka', ' Mutton Kola Urundai', ' Mutton Biryani', ' Kali Dosa', ' Nannari Sharbat']",700,4.4,961,3.6,7591,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Table booking recommended']"
Hotel Al Buhari,Vadapalani,['Chinese',"['Shawarma', ' Fried Rice Chicken', ' Biryani']",350,4.0,982,3.8,22400,"['Home Delivery', 'Indoor Seating']"
Hotel Al Buhari,Vadapalani, ' Chettinad'],"['Shawarma', ' Fried Rice Chicken', ' Biryani']",350,4.0,982,3.8,22400,"['Home Delivery', 'Indoor Seating']"
Dindigul Thalappakatti,Porur,['South Indian',"['Mutton Biryani', ' Faluda', ' Barbeque Chicken', ' Chicken Grill', ' Bbq Chicken', ' Fish Fry', ' Mutton Chops']",900,4.3,770,4.0,7670,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Dindigul Thalappakatti,Porur, ' Biryani',"['Mutton Biryani', ' Faluda', ' Barbeque Chicken', ' Chicken Grill', ' Bbq Chicken', ' Fish Fry', ' Mutton Chops']",900,4.3,770,4.0,7670,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Dindigul Thalappakatti,Porur, ' Chinese',"['Mutton Biryani', ' Faluda', ' Barbeque Chicken', ' Chicken Grill', ' Bbq Chicken', ' Fish Fry', ' Mutton Chops']",900,4.3,770,4.0,7670,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Dindigul Thalappakatti,Porur, ' North Indian'],"['Mutton Biryani', ' Faluda', ' Barbeque Chicken', ' Chicken Grill', ' Bbq Chicken', ' Fish Fry', ' Mutton Chops']",900,4.3,770,4.0,7670,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Hotel Paramount,Kilpauk,['North Indian',"['Biryani', ' Butter Chicken', ' Tandoori Chicken', ' Tangdi Kabab', ' Paya', ' Paratha', ' Chilli Chicken']",500,4.3,1266,4.2,17700,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']"
Hotel Paramount,Kilpauk, ' Chinese',"['Biryani', ' Butter Chicken', ' Tandoori Chicken', ' Tangdi Kabab', ' Paya', ' Paratha', ' Chilli Chicken']",500,4.3,1266,4.2,17700,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']"
Hotel Paramount,Kilpauk, ' Seafood',"['Biryani', ' Butter Chicken', ' Tandoori Chicken', ' Tangdi Kabab', ' Paya', ' Paratha', ' Chilli Chicken']",500,4.3,1266,4.2,17700,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']"
Hotel Paramount,Kilpauk, ' South Indian',"['Biryani', ' Butter Chicken', ' Tandoori Chicken', ' Tangdi Kabab', ' Paya', ' Paratha', ' Chilli Chicken']",500,4.3,1266,4.2,17700,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']"
Hotel Paramount,Kilpauk, ' Biryani'],"['Biryani', ' Butter Chicken', ' Tandoori Chicken', ' Tangdi Kabab', ' Paya', ' Paratha', ' Chilli Chicken']",500,4.3,1266,4.2,17700,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']"
Arab Street,Ashok Nagar,['Arabian',"['Shawarma', ' Biryani', ' Chicken Grill', ' Kunafa', ' Charcoal Chicken', ' Chicken Shawarama', ' Butter Naan']",800,4.1,1363,3.8,6228,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required']"
Arab Street,Ashok Nagar, ' Biryani',"['Shawarma', ' Biryani', ' Chicken Grill', ' Kunafa', ' Charcoal Chicken', ' Chicken Shawarama', ' Butter Naan']",800,4.1,1363,3.8,6228,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required']"
Arab Street,Ashok Nagar, ' Chinese',"['Shawarma', ' Biryani', ' Chicken Grill', ' Kunafa', ' Charcoal Chicken', ' Chicken Shawarama', ' Butter Naan']",800,4.1,1363,3.8,6228,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required']"
Arab Street,Ashok Nagar, ' North Indian',"['Shawarma', ' Biryani', ' Chicken Grill', ' Kunafa', ' Charcoal Chicken', ' Chicken Shawarama', ' Butter Naan']",800,4.1,1363,3.8,6228,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required']"
Arab Street,Ashok Nagar, ' Italian'],"['Shawarma', ' Biryani', ' Chicken Grill', ' Kunafa', ' Charcoal Chicken', ' Chicken Shawarama', ' Butter Naan']",800,4.1,1363,3.8,6228,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required']"
Abid's,Chetpet,['Seafood',"['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Abid's,Chetpet, ' Biryani',"['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Abid's,Chetpet, ' Hyderabadi',"['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Abid's,Chetpet, ' Arabian',"['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Abid's,Chetpet, ' North Indian',"['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Abid's,Chetpet, ' Chinese',"['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Abid's,Chetpet, ' Kerala'],"['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Malabar Biriyani Center,Aminijikarai,['Kerala',"['Chicken Grill', ' Paratha', ' Malabari Biryani', ' Pulpy Grape Juice', ' Arabian Grape Juice', ' Bbq Chicken', ' Chicken Butter Masala']",450,4.1,660,3.9,12600,"['Home Delivery', 'Indoor Seating']"
Malabar Biriyani Center,Aminijikarai, ' Chinese',"['Chicken Grill', ' Paratha', ' Malabari Biryani', ' Pulpy Grape Juice', ' Arabian Grape Juice', ' Bbq Chicken', ' Chicken Butter Masala']",450,4.1,660,3.9,12600,"['Home Delivery', 'Indoor Seating']"
Malabar Biriyani Center,Aminijikarai, ' North Indian',"['Chicken Grill', ' Paratha', ' Malabari Biryani', ' Pulpy Grape Juice', ' Arabian Grape Juice', ' Bbq Chicken', ' Chicken Butter Masala']",450,4.1,660,3.9,12600,"['Home Delivery', 'Indoor Seating']"
Malabar Biriyani Center,Aminijikarai, ' Biryani'],"['Chicken Grill', ' Paratha', ' Malabari Biryani', ' Pulpy Grape Juice', ' Arabian Grape Juice', ' Bbq Chicken', ' Chicken Butter Masala']",450,4.1,660,3.9,12600,"['Home Delivery', 'Indoor Seating']"
Velidis,Ramapuram,['Andhra',"['Chicken Guntur', ' Hyderabadi Biryani', ' Guntur Paneer', ' Andhra Biryani', ' Chicken Biryani', ' Gongura Chicken', ' Chicken Fry']",500,4.2,802,4.1,10600,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Velidis,Ramapuram, ' Biryani',"['Chicken Guntur', ' Hyderabadi Biryani', ' Guntur Paneer', ' Andhra Biryani', ' Chicken Biryani', ' Gongura Chicken', ' Chicken Fry']",500,4.2,802,4.1,10600,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Velidis,Ramapuram, ' North Indian'],"['Chicken Guntur', ' Hyderabadi Biryani', ' Guntur Paneer', ' Andhra Biryani', ' Chicken Biryani', ' Gongura Chicken', ' Chicken Fry']",500,4.2,802,4.1,10600,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Mami Tiffen Stall,Mylapore,['South Indian',"['Vada Curry', ' Filtered Coffee', ' Pongal', ' Ghee Podi Dosa', ' Bonda', ' Masala Dosa', ' Idli']",400,4.3,578,3.9,14700,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']"
Mami Tiffen Stall,Mylapore, ' North Indian',"['Vada Curry', ' Filtered Coffee', ' Pongal', ' Ghee Podi Dosa', ' Bonda', ' Masala Dosa', ' Idli']",400,4.3,578,3.9,14700,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']"
Mami Tiffen Stall,Mylapore, ' Chinese',"['Vada Curry', ' Filtered Coffee', ' Pongal', ' Ghee Podi Dosa', ' Bonda', ' Masala Dosa', ' Idli']",400,4.3,578,3.9,14700,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']"
Mami Tiffen Stall,Mylapore, ' Street Food'],"['Vada Curry', ' Filtered Coffee', ' Pongal', ' Ghee Podi Dosa', ' Bonda', ' Masala Dosa', ' Idli']",400,4.3,578,3.9,14700,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']"
Supriya Andhra Restaurant,Thuraipakkam,['Biryani',"['Biryani', ' Raita']",650,4.2,1992,3.8,50100,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Supriya Andhra Restaurant,Thuraipakkam, ' North Indian',"['Biryani', ' Raita']",650,4.2,1992,3.8,50100,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Supriya Andhra Restaurant,Thuraipakkam, ' Chinese'],"['Biryani', ' Raita']",650,4.2,1992,3.8,50100,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Eating Circles,Alwarpet,['South Indian'],"['Rose Milk', ' Neer Dosa', ' Thatte Idli', ' Open Masala Dosa', ' Filtered Coffee', ' Rava Idli', ' Bonda Soup']",250,4.7,782,4.2,2744,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Salem RR Briyani Unavagam,Velachery,['Biryani',"['Chicken 65', ' Mutton Biryani', ' Tandoori Chicken', ' Chicken Biryani', ' Kothu Parotta', ' Brinjal Gravy', ' Paratha']",550,4.2,1180,4.0,1717,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Salem RR Briyani Unavagam,Velachery, ' Chinese',"['Chicken 65', ' Mutton Biryani', ' Tandoori Chicken', ' Chicken Biryani', ' Kothu Parotta', ' Brinjal Gravy', ' Paratha']",550,4.2,1180,4.0,1717,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Salem RR Briyani Unavagam,Velachery, ' North Indian',"['Chicken 65', ' Mutton Biryani', ' Tandoori Chicken', ' Chicken Biryani', ' Kothu Parotta', ' Brinjal Gravy', ' Paratha']",550,4.2,1180,4.0,1717,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Salem RR Briyani Unavagam,Velachery, ' Seafood',"['Chicken 65', ' Mutton Biryani', ' Tandoori Chicken', ' Chicken Biryani', ' Kothu Parotta', ' Brinjal Gravy', ' Paratha']",550,4.2,1180,4.0,1717,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Salem RR Briyani Unavagam,Velachery, ' Beverages'],"['Chicken 65', ' Mutton Biryani', ' Tandoori Chicken', ' Chicken Biryani', ' Kothu Parotta', ' Brinjal Gravy', ' Paratha']",550,4.2,1180,4.0,1717,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
V4 Midnight Dhabba,Mogappair,['North Indian',"['Egg Noodles', ' Punjabi Chicken', ' Cream Chicken', ' Peri Peri Chicken', ' Panneer Butter Masala', ' Dragon Chicken', ' Roti']",550,4.3,1139,3.9,10100,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
V4 Midnight Dhabba,Mogappair, ' Mughlai'],"['Egg Noodles', ' Punjabi Chicken', ' Cream Chicken', ' Peri Peri Chicken', ' Panneer Butter Masala', ' Dragon Chicken', ' Roti']",550,4.3,1139,3.9,10100,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Bakya Veg Restaurant, Mambalam,['South Indian',"['Panneer Butter Masala', ' Noodle', ' Chaat', ' Badam Milk', ' Butter Naan']",400,4.2,457,4.0,19400,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Bakya Veg Restaurant, Mambalam, ' North Indian',"['Panneer Butter Masala', ' Noodle', ' Chaat', ' Badam Milk', ' Butter Naan']",400,4.2,457,4.0,19400,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Bakya Veg Restaurant, Mambalam, ' Chinese'],"['Panneer Butter Masala', ' Noodle', ' Chaat', ' Badam Milk', ' Butter Naan']",400,4.2,457,4.0,19400,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Midnight Madness,Adyar,['Italian'],"['Pasta', ' Noodle', ' Peri Peri Chicken Pizza']",450,4.1,625,3.3,10300,"['Home Delivery', 'Indoor Seating']"
Hotel Crescent,Nungambakkam,['Chettinad',"['Chicken Grill', ' Shawarma', ' Paratha', ' Fish Curry', ' Tandoori Chicken', ' Biryani', ' Chicken Curry']",500,4.3,1030,4.2,2731,"['Home Delivery', 'Indoor Seating']"
Hotel Crescent,Nungambakkam, ' Chinese',"['Chicken Grill', ' Shawarma', ' Paratha', ' Fish Curry', ' Tandoori Chicken', ' Biryani', ' Chicken Curry']",500,4.3,1030,4.2,2731,"['Home Delivery', 'Indoor Seating']"
Hotel Crescent,Nungambakkam, ' North Indian',"['Chicken Grill', ' Shawarma', ' Paratha', ' Fish Curry', ' Tandoori Chicken', ' Biryani', ' Chicken Curry']",500,4.3,1030,4.2,2731,"['Home Delivery', 'Indoor Seating']"
